val_loss,epoch,step,train_loss
337.4566345214844,0,45,
,1,49,299.49774169921875
287.09356689453125,1,91,
,2,99,275.9728088378906
236.71041870117188,2,137,
,3,149,212.69830322265625
195.05657958984375,3,183,
,4,199,178.40835571289062
167.67771911621094,4,229,
,5,249,155.8352508544922
149.71987915039062,5,275,
,6,299,107.46041870117188
132.4423828125,6,321,
,7,349,113.31600189208984
123.52684783935547,7,367,
,8,399,105.53585815429688
114.0621566772461,8,413,
,9,449,97.91326141357422
106.50878143310547,9,459,
,10,499,102.3570327758789
103.03929138183594,10,505,
,11,549,100.02983856201172
99.51667022705078,11,551,
94.40736389160156,12,597,
,13,599,89.11038208007812
90.17040252685547,13,643,
,14,649,71.50511169433594
87.06254577636719,14,689,
,15,699,64.82006072998047
89.888671875,15,735,
,16,749,69.60758209228516
81.22721862792969,16,781,
,17,799,59.477108001708984
80.67349243164062,17,827,
,18,849,53.42654037475586
79.2409439086914,18,873,
,19,899,53.06534194946289
76.9000015258789,19,919,
,20,949,51.015159606933594
74.34062194824219,20,965,
,21,999,44.081703186035156
74.17092895507812,21,1011,
,22,1049,51.750858306884766
70.56885528564453,22,1057,
,23,1099,63.66438293457031
69.23042297363281,23,1103,
,24,1149,57.54975891113281
67.61270141601562,24,1149,
68.22872161865234,25,1195,
,26,1199,43.74715805053711
65.59232330322266,26,1241,
,27,1249,49.27088928222656
64.95684051513672,27,1287,
,28,1299,35.78129959106445
64.12052154541016,28,1333,
,29,1349,45.85871887207031
65.68353271484375,29,1379,
,30,1399,30.484159469604492
62.500572204589844,30,1425,
,31,1449,38.78679275512695
62.083778381347656,31,1471,
,32,1499,46.94012451171875
61.01337432861328,32,1517,
,33,1549,34.290828704833984
60.83826446533203,33,1563,
,34,1599,35.30265808105469
61.25636672973633,34,1609,
,35,1649,30.68882179260254
58.98975372314453,35,1655,
,36,1699,32.009613037109375
57.89772415161133,36,1701,
58.290950775146484,37,1747,
,38,1749,25.994430541992188
56.82155990600586,38,1793,
,39,1799,25.523576736450195
57.060340881347656,39,1839,
,40,1849,24.04886817932129
58.52219772338867,40,1885,
,41,1899,24.796268463134766
57.475101470947266,41,1931,
,42,1949,20.488388061523438
57.15157699584961,42,1977,
,43,1999,24.0656795501709
56.57057571411133,43,2023,
,44,2049,27.237598419189453
55.46658706665039,44,2069,
,45,2099,23.49054718017578
55.57721710205078,45,2115,
,46,2149,22.30788230895996
54.539093017578125,46,2161,
,47,2199,21.518369674682617
54.60212326049805,47,2207,
,48,2249,25.339229583740234
54.80781555175781,48,2253,
,49,2299,37.93547821044922
55.609859466552734,49,2299,
54.41743469238281,50,2345,
,51,2349,21.118324279785156
55.20368576049805,51,2391,
,52,2399,17.23055648803711
54.46149826049805,52,2437,
,53,2449,21.647531509399414
53.77025604248047,53,2483,
,54,2499,17.766599655151367
53.872901916503906,54,2529,
,55,2549,18.744646072387695
54.08272171020508,55,2575,
,56,2599,19.316810607910156
53.30863571166992,56,2621,
,57,2649,18.899232864379883
53.63676071166992,57,2667,
,58,2699,17.641345977783203
53.39805603027344,58,2713,
,59,2749,21.019258499145508
53.75611114501953,59,2759,
,60,2799,17.475887298583984
54.18026351928711,60,2805,
,61,2849,17.81635856628418
52.69007873535156,61,2851,
53.070068359375,62,2897,
,63,2899,17.799190521240234
52.103240966796875,63,2943,
,64,2949,15.698143005371094
54.21331024169922,64,2989,
,65,2999,20.600557327270508
55.907257080078125,65,3035,
,66,3049,16.201887130737305
53.16446304321289,66,3081,
,67,3099,14.744941711425781
53.75935745239258,67,3127,
,68,3149,15.589615821838379
52.85813522338867,68,3173,
,69,3199,13.40684986114502
53.12069320678711,69,3219,
,70,3249,16.17011833190918
52.18877410888672,70,3265,
